meter_id,timestamp,consumption_kwh,voltage_v,current_a,power_factor,status
M-101,2026-09-01 00:00:00,23.5,221.9,101.28,0.954,OK
M-101,2026-09-01 01:00:00,20.11,221.15,100.49,0.935,OK
M-101,2026-09-01 02:00:00,23.01,222.06,101.84,0.952,OK
M-101,2026-09-01 03:00:00,23.14,221.56,107.78,0.927,OK
M-101,2026-09-01 04:00:00,23.59,222.05,101.52,0.939,OK
M-101,2026-09-01 05:00:00,22.76,222.47,102.36,0.938,OK
M-101,2026-09-01 06:00:00,28.8,221.64,132.34,0.945,OK
M-101,2026-09-01 07:00:00,30.06,223.57,134.69,0.934,OK
M-101,2026-09-01 08:00:00,35.07,221.74,159.96,0.957,OK
M-101,2026-09-01 09:00:00,35.67,220.01,159.88,0.95,OK
M-101,2026-09-01 10:00:00,36.95,220.2,164.03,0.943,OK
M-101,2026-09-01 11:00:00,36.02,222.05,163.06,0.943,OK
M-101,2026-09-01 12:00:00,36.86,221.35,162.6,0.949,OK
M-101,2026-09-01 13:00:00,33.65,220.44,161.44,0.93,OK
M-101,2026-09-01 14:00:00,35.43,219.96,166.88,0.955,OK
M-101,2026-09-01 15:00:00,33.32,221.2,161.4,0.949,OK
M-101,2026-09-01 16:00:00,36.91,220.58,164.78,0.933,OK
M-101,2026-09-01 17:00:00,37.13,219.47,161.83,0.923,OK
M-101,2026-09-01 18:00:00,28.06,221.17,134.89,0.95,OK
M-101,2026-09-01 19:00:00,28.8,221.75,133.88,0.935,OK
M-101,2026-09-01 20:00:00,30.13,220.56,131.41,0.934,OK
M-101,2026-09-01 21:00:00,27.65,220.44,134.86,0.94,OK
M-101,2026-09-01 22:00:00,30.16,221.8,134.74,0.939,OK
M-101,2026-09-01 23:00:00,28.81,218.98,133.16,0.918,OK
M-101,2026-09-02 00:00:00,21.06,221.48,101.41,0.926,OK
M-101,2026-09-02 01:00:00,22.47,220.57,108.3,0.951,OK
M-101,2026-09-02 02:00:00,21.64,219.86,103.78,0.935,OK
M-101,2026-09-02 03:00:00,24.3,221.52,99.22,0.944,OK
M-101,2026-09-02 04:00:00,22.15,221.09,100.06,0.932,OK
M-101,2026-09-02 05:00:00,23.39,222.92,104.47,0.936,OK
M-101,2026-09-02 06:00:00,27.9,221.26,133.94,0.96,OK
M-101,2026-09-02 07:00:00,30.69,222.76,134.47,0.922,OK
M-101,2026-09-02 08:00:00,34.88,220.53,159.62,0.919,OK
M-101,2026-09-02 09:00:00,36.79,219.24,161.73,0.925,OK
M-101,2026-09-02 10:00:00,36.31,223.4,164.91,0.984,OK
M-101,2026-09-02 11:00:00,36.46,218.44,159.43,0.944,OK
M-101,2026-09-02 12:00:00,34.62,220.27,161.15,0.938,OK
M-101,2026-09-02 13:00:00,37.44,220.81,162.87,0.924,OK
M-101,2026-09-02 14:00:00,33.33,220.94,160.94,0.967,OK
M-101,2026-09-02 15:00:00,36.04,220.4,165.35,0.922,OK
M-101,2026-09-02 16:00:00,34.39,223.55,160.22,0.928,OK
M-101,2026-09-02 17:00:00,37.1,222.12,159.69,0.946,OK
